CYCLE,region,treated,at_risk,se,ci95_low,ci95_high,n
2015,North,False,0.5790310779678705,0.017430698467880753,0.5448669089708242,0.6131952469649167,1264
2015,Center,True,0.5226705478159095,0.010724699475767372,0.5016501368434054,0.5436909587884136,2919
2015,South,False,0.5114798941548049,0.02396558683280566,0.4645073439625058,0.558452444347104,1032
2018,North,False,0.5110827838392444,0.01885419659571374,0.4741285585116455,0.5480370091668434,1483
2018,Center,True,0.3738196908224892,0.008905731489695427,0.35636445710268616,0.3912749245422923,3018
2018,South,False,0.4305974229652708,0.009378619079606363,0.41221532956924234,0.4489795163612993,1858
2022,North,False,0.8052657085916923,0.007633674509632582,0.7903037065528125,0.8202277106305722,1208
2022,Center,True,0.7179625225591357,0.005898802796049428,0.7064008690788789,0.7295241760393926,3139
2022,South,False,0.7347960382120247,0.009819696703174247,0.7155494326738031,0.7540426437502462,1782
