CYCLE,sector,at_risk,se,ci95_low,ci95_high,n,small,brr_available
2015,Private,0.3212998424362653,0.028166149743215584,0.26609418893956277,0.37650549593296784,474,False,True
2015,Public,0.5594942804109266,0.010961104415884245,0.5380105157557935,0.5809780450660598,4741,False,True
2018,Private,0.29261276325982816,0.022936971016761912,0.2476563000669748,0.3375692264526815,694,False,True
2018,Public,0.44055404193957004,0.009007378891767748,0.42289957931170524,0.45820850456743484,5665,False,True
2022,Private,0.5164157103163068,0.015467852135412368,0.4860987201308986,0.5467327005017151,786,False,True
2022,Public,0.7714380901143969,0.004855714830717476,0.7619208890461906,0.7809552911826032,5343,False,True
