fold,auc_multilevel,auc_school_lgbm
1,0.8040995451457736,0.7858168556970617
2,0.7620798774114212,0.73697437297266
3,0.7858177809244046,0.7775511763908398
4,0.7666526079496028,0.7583667957695206
5,0.7964699102762409,0.805341398349257
