target_fpr,grp_recall,grp_fpr_gap,grp_tpr_gap,grp_accuracy,grp_selection,single_recall,single_fpr_gap,single_tpr_gap,single_accuracy
0.05,0.22370689170930277,0.008119739960472147,0.21867572941845087,0.4062306107341027,0.17963247829115986,0.23885601838198187,0.11270220140166141,0.1784009805884273,0.4190386365158833
0.1,0.3781750124486836,0.004179151701436554,0.20524601225160663,0.5094863816375226,0.30790962821533435,0.3972743822314091,0.23663071932117496,0.2840982295325466,0.5241261364432361
0.15,0.465816236704753,0.005591308359982339,0.21819878269764076,0.5629067243587424,0.38585508796380596,0.49039088903161693,0.3607387719564443,0.32178197358871763,0.5852280045296309
0.2,0.5348832048046986,0.006351248820449462,0.20569017190219002,0.6019936331616125,0.45029295035865935,0.5570720513189726,0.44445400681785613,0.3538232151474944,0.6206304513439502
0.25,0.5928458781777608,0.0023197494730057278,0.19861287918431492,0.6326648755001475,0.5065022047906109,0.6174657430941696,0.5166924794025121,0.36588721142033487,0.6552048479362692
0.3,0.6570125226778657,0.0033482029632910804,0.20802608153652602,0.6681727525436384,0.5671739831329808,0.6806748330249551,0.565528388476843,0.35887286615022707,0.6908013329657723
0.35,0.6994006044501834,0.005747664923092033,0.20005559871684886,0.6873305903710168,0.6115518207190571,0.7245632368560119,0.5934247845178545,0.3562841082039052,0.713705833640795
0.4,0.7295013129448245,0.003776683265093117,0.21744249338921495,0.69742295108231,0.6465775395401928,0.7592069363976816,0.6120308655595306,0.3434755596338378,0.7293560789492913
0.45,0.7648454874028959,0.008165902953615856,0.19302398345894534,0.7115367847673268,0.6854412387425236,0.7949695785418692,0.6202849609235244,0.32719303525626187,0.7462875665796614
0.5,0.8017700149715764,0.0035177028191479276,0.177433995856762,0.7266675733775798,0.7256567809948048,0.830857580300997,0.598586060193723,0.3206698334585748,0.76123713639784
0.55,0.8328966594432263,0.007099968553767488,0.18068034656686494,0.7377962442554538,0.7611839694333176,0.861319080362395,0.6124180264591806,0.2987925149107803,0.7728960715104873
0.6,0.8646154585230184,0.003752400578053927,0.16700836074715275,0.7485484583665123,0.7979751976904005,0.8912197888882039,0.596646094053932,0.2542980139902391,0.7825783592941473
0.65,0.8870955963624821,0.0031712413413247376,0.13249067668609127,0.7528253470348949,0.8273938829026618,0.9116363999520798,0.5761745575578516,0.23165303882021449,0.785630836295263
0.7,0.9141516575882944,0.0027535519100750916,0.10161071931318821,0.7608324049611728,0.8599412698140456,0.9352436052714503,0.5592196500347618,0.19592432655982472,0.7902161559067895
