CYCLE,urbanicity,at_risk,se,ci95_low,ci95_high,n,small,brr_available
2015,Rural,0.6472776786064408,0.018504428583890977,0.6110089985820145,0.6835463586308671,1591,False,True
2015,Urban,0.47938641081830397,0.01129272549381386,0.4572526688504288,0.5015201527861791,3624,False,True
2018,Rural,0.48594593195172403,0.01421773139495432,0.4580791784176136,0.5138126854858345,1785,False,True
2018,Urban,0.39533314131049835,0.009684636649644258,0.3763512534771956,0.4143150291438011,4574,False,True
2022,Rural,0.8116283692824613,0.012049160847848303,0.7880120140206787,0.8352447245442439,1604,False,True
2022,Urban,0.7121445072277777,0.004638871539968817,0.7030523190094388,0.7212366954461166,4525,False,True
