threshold,net_benefit_model,net_benefit_all,net_benefit_none,net_benefit_model_calibrated
0.01,0.7509637413463832,0.7509637413463832,0.0,0.7508084948859995
0.02,0.7482751535037652,0.7484225550335911,0.0,0.7482673085732074
0.03,0.7454972740989235,0.7458289731267209,0.0,0.7456737266663372
0.04,0.7427222796795825,0.7431813582634577,0.0,0.743026111803074
0.05,0.7399237854654984,0.740478004139915,0.0,0.7403227576795314
0.06,0.7356754041810308,0.7377171318435312,0.0,0.7375618853831475
0.07,0.7320769153125676,0.7348968859493756,0.0,0.734741639488992
0.08,0.7282153156445662,0.7320153303618688,0.0,0.7317044875933097
0.09,0.7248671631966624,0.729070443882329,0.0,0.7287688779647991
0.1,0.7220176306074717,0.7260601154810215,0.0,0.7257680325667659
0.11,0.7174472532440221,0.7229821392504712,0.0,0.722699752440687
0.12,0.7141088888858309,0.7198342090146811,0.0,0.7195617386753791
0.13,0.7100543850271934,0.7166139125665739,0.0,0.7162555750468396
0.14,0.7050744314665426,0.7133187255033946,0.0,0.7130659327999203
0.15,0.7015303953133969,0.7099460046269639,0.0,0.7097185529413577
0.16,0.6972717699513958,0.706492980872523,0.0,0.7061039036975103
0.17,0.6936413337884466,0.7029567517264088,0.0,0.7028666708986083
0.18,0.6887689911311875,0.699334273088926,0.0,0.6993218443896022
0.19,0.683986854932911,0.6956223505344683,0.0,0.6956894913001268
0.2,0.6791266906022714,0.6918176299161491,0.0,0.69208098724802
0.21,0.6745747760482594,0.6879165872568599,0.0,0.6882708248944673
0.22,0.6706797355881877,0.6839155178627171,0.0,0.6844259006759607
0.23,0.6671668701959175,0.6798105245882069,0.0,0.6804202541731158
0.24,0.6627321768109085,0.6755975051748939,0.0,0.676309195920196
0.25,0.6579397671651788,0.6712721385772258,0.0,0.6710237290198191
0.26,0.6530262939091536,0.6668298701796207,0.0,0.6664740076643241
0.27,0.6475934623882635,0.6622658957985197,0.0,0.66194849318644
0.28,0.6427728575286098,0.6575751443512768,0.0,0.6573401544206475
0.29,0.6372235021593619,0.6527522590604498,0.0,0.6512719483735001
0.3,0.631412183688184,0.6477915770470276,0.0,0.6461037544968844
