bin_low,bin_high,mean_predicted,observed_fraction,weight_share
0.0,0.1,0.06855420297466827,0.3275899405142799,0.0011550362122155651
0.1,0.2,0.1543504091641958,0.1378497645002382,0.005761150609100325
0.2,0.3,0.27419612790007253,0.3579184041500031,0.035977861671255496
0.3,0.4,0.33192212767241663,0.27861726884627586,0.030670079034317312
0.4,0.5,0.42487523745765965,0.4216012561523584,0.06134657683419342
0.5,0.6,0.5669501679686807,0.5741721629742816,0.055555933886464265
0.6,0.7,0.65911528251678,0.6527330587146949,0.08385644924108093
0.7,0.8,0.7515918089844738,0.7544247980344019,0.19726634343546656
0.8,0.9,0.8482827108687101,0.8520861784196749,0.2648352288950162
0.9,1.0,0.9354882072095333,0.9252603038881424,0.26357534018089
