bin_low,bin_high,mean_predicted,observed_fraction,weight_share
0.0,0.1,0.06649127959693263,0.23378389429835308,0.02719487577541316
0.1,0.2,0.15321425908652408,0.3577423167763458,0.058538525559639135
0.2,0.3,0.2528613212241957,0.45080052117508407,0.0655578903611042
0.3,0.4,0.35228352384527256,0.5854877534349785,0.06274434341870162
0.4,0.5,0.45032263101247916,0.6915109136462189,0.07213958934982377
0.5,0.6,0.5494756212816017,0.7230237333341274,0.0832910659649944
0.6,0.7,0.6522758755522544,0.7734032911816667,0.10095022243017313
0.7,0.8,0.7518788712086713,0.8142179267913199,0.12163328306076596
0.8,0.9,0.8545869457728635,0.8863934263950072,0.17759303736834758
0.9,1.0,0.9482142981923034,0.9343309519549244,0.23035716671103704
