iter	Passed	Remaining
408	743	1074
409	745	1072
410	747	1070
411	749	1068
412	750	1066
413	752	1064
414	754	1063
415	755	1061
416	757	1059
417	759	1058
418	761	1056
419	763	1054
420	765	1052
421	766	1050
422	768	1048
423	770	1046
424	772	1044
425	773	1042
426	775	1040
427	777	1038
428	778	1036
429	780	1034
430	782	1032
431	783	1030
432	785	1028
433	787	1026
434	789	1024
435	790	1022
436	792	1020
437	793	1018
438	795	1016
439	797	1014
440	798	1012
441	800	1010
442	802	1008
443	803	1006
444	805	1004
445	807	1002
446	808	1000
447	810	998
448	812	996
449	813	994
450	815	992
451	817	991
452	819	989
453	820	987
454	822	985
455	824	983
456	825	981
457	827	979
458	829	977
459	830	975
460	832	973
461	834	971
462	835	969
463	837	967
464	838	965
465	840	963
466	842	961
467	843	959
468	845	957
469	847	955
470	849	953
471	850	951
472	852	949
473	854	948
474	856	946
475	857	944
476	859	942
477	861	940
478	863	938
479	864	936
480	866	934
481	868	933
482	870	931
483	871	929
484	873	927
485	875	925
486	876	923
487	878	922
488	880	920
489	882	918
490	883	916
491	885	914
492	887	912
493	888	910
494	890	908
495	892	906
496	893	904
497	895	902
498	897	901
499	899	899
500	901	898
501	903	896
502	905	894
503	907	892
504	908	890
505	910	888
506	912	887
507	914	885
508	915	883
509	917	881
510	919	879
511	920	877
512	922	875
513	924	874
514	926	872
515	927	870
516	929	868
517	931	866
518	933	864
519	934	862
520	936	860
521	938	858
522	939	856
523	941	855
524	942	853
525	944	851
526	946	849
527	948	847
528	950	845
529	951	844
530	953	842
531	955	840
532	957	838
533	959	837
534	961	835
535	962	833
536	964	831
537	966	830
538	968	828
539	970	826
540	972	824
541	973	822
542	975	821
543	977	819
544	980	818
545	982	816
546	983	814
547	985	812
548	987	811
549	989	809
550	990	807
551	992	805
552	994	803
553	996	801
554	997	800
555	999	798
556	1001	796
557	1003	794
558	1005	792
559	1006	790
560	1008	789
561	1009	787
562	1011	785
563	1013	783
564	1015	781
565	1016	779
566	1018	777
567	1020	775
568	1021	773
569	1023	772
570	1025	770
571	1026	768
572	1028	766
573	1030	764
574	1032	762
575	1033	761
576	1035	759
577	1037	757
578	1038	755
579	1040	753
580	1042	751
581	1043	749
582	1045	747
583	1047	746
584	1049	744
585	1050	742
586	1052	740
587	1054	738
588	1055	736
589	1057	735
590	1059	733
591	1061	731
592	1063	729
593	1064	727
594	1066	726
595	1068	724
596	1070	722
597	1071	720
598	1073	718
599	1075	716
600	1076	715
601	1078	713
602	1080	711
603	1082	709
604	1083	707
605	1085	705
606	1087	703
607	1088	702
608	1090	700
609	1092	698
610	1094	696
611	1095	694
612	1097	692
613	1099	690
614	1100	689
615	1102	687
616	1104	685
617	1105	683
618	1107	681
619	1109	679
620	1110	677
621	1113	676
622	1115	674
623	1116	672
624	1118	671
625	1120	669
626	1121	667
627	1123	665
628	1125	663
629	1126	661
630	1128	659
631	1130	658
632	1131	656
633	1133	654
634	1135	652
635	1136	650
636	1139	649
637	1140	647
638	1142	645
639	1144	643
640	1145	641
641	1147	639
642	1149	638
643	1150	636
644	1152	634
645	1154	632
646	1155	630
647	1157	628
648	1159	626
649	1160	624
650	1162	623
651	1163	621
652	1165	619
653	1167	617
654	1168	615
655	1170	613
656	1172	612
657	1174	610
658	1175	608
659	1177	606
660	1179	604
661	1181	603
662	1182	601
663	1184	599
664	1186	597
665	1188	595
666	1189	593
667	1191	592
668	1193	590
669	1195	588
670	1196	586
671	1198	585
672	1200	583
673	1202	581
674	1204	580
675	1206	578
676	1208	576
677	1210	574
678	1211	572
679	1213	571
680	1215	569
681	1217	567
682	1219	565
683	1221	564
684	1223	562
685	1224	560
686	1227	559
687	1228	557
688	1230	555
689	1232	553
690	1233	551
691	1235	549
692	1237	548
693	1239	546
694	1240	544
695	1242	542
696	1244	540
697	1245	538
698	1247	537
699	1248	535
700	1250	533
701	1252	531
702	1253	529
703	1255	527
704	1257	526
705	1258	524
706	1260	522
707	1262	520
708	1264	518
709	1265	516
710	1267	515
711	1269	513
712	1270	511
713	1272	509
714	1274	507
715	1275	506
716	1277	504
717	1279	502
718	1280	500
719	1282	498
720	1284	497
721	1286	495
722	1287	493
723	1289	491
724	1291	489
725	1293	487
726	1294	486
727	1296	484
728	1298	482
729	1299	480
730	1301	478
731	1303	477
732	1304	475
733	1306	473
734	1308	471
735	1310	470
736	1312	468
737	1313	466
738	1315	464
739	1317	462
740	1318	460
741	1320	459
742	1322	457
743	1323	455
744	1325	453
745	1327	451
746	1328	450
747	1330	448
748	1332	446
749	1333	444
750	1335	442
751	1337	441
752	1338	439
753	1340	437
754	1342	435
755	1343	433
756	1345	431
757	1347	430
758	1349	428
759	1350	426
760	1352	424
761	1354	422
762	1355	421
763	1357	419
764	1358	417
765	1360	415
766	1362	413
767	1364	412
768	1365	410
769	1367	408
770	1369	406
771	1370	404
772	1372	403
773	1374	401
774	1375	399
775	1377	397
776	1379	395
777	1380	394
778	1382	392
779	1384	390
780	1385	388
781	1387	386
782	1389	385
783	1391	383
784	1392	381
785	1394	379
786	1396	377
787	1397	376
788	1399	374
789	1401	372
790	1403	370
791	1404	368
792	1406	367
793	1408	365
794	1410	363
795	1411	361
796	1413	360
797	1415	358
798	1417	356
799	1418	354
800	1420	352
801	1422	351
802	1423	349
803	1425	347
804	1427	345
805	1428	343
806	1430	342
807	1432	340
808	1433	338
809	1435	336
810	1437	334
811	1438	333
812	1440	331
813	1442	329
814	1443	327
815	1445	325
816	1447	324
817	1448	322
818	1450	320
819	1452	318
820	1453	316
821	1455	315
822	1457	313
823	1458	311
824	1460	309
825	1462	308
826	1464	306
827	1465	304
828	1467	302
829	1469	300
830	1470	299
831	1472	297
832	1474	295
833	1475	293
834	1477	291
835	1479	290
836	1480	288
837	1482	286
838	1483	284
839	1485	282
840	1487	281
841	1488	279
842	1490	277
843	1492	275
844	1493	274
845	1495	272
846	1497	270
847	1499	268
848	1500	266
849	1502	265
850	1504	263
851	1505	261
852	1507	259
853	1509	258
854	1511	256
855	1512	254
856	1514	252
857	1516	250
858	1518	249
859	1520	247
860	1521	245
861	1523	243
862	1525	242
863	1526	240
864	1528	238
865	1530	236
866	1532	235
867	1533	233
868	1535	231
869	1537	229
870	1539	227
871	1541	226
872	1542	224
873	1544	222
874	1545	220
875	1547	219
876	1549	217
877	1551	215
878	1552	213
879	1554	212
880	1556	210
881	1558	208
882	1560	206
883	1561	204
884	1563	203
885	1565	201
886	1566	199
887	1568	197
888	1570	196
889	1571	194
890	1573	192
891	1575	190
892	1576	188
893	1578	187
894	1580	185
895	1582	183
896	1583	181
897	1585	180
898	1587	178
899	1588	176
900	1590	174
901	1592	172
902	1593	171
903	1595	169
904	1597	167
905	1598	165
906	1600	164
907	1601	162
908	1603	160
909	1605	158
910	1607	156
911	1608	155
912	1610	153
913	1612	151
914	1614	149
915	1615	148
916	1617	146
917	1619	144
918	1621	142
919	1622	141
920	1624	139
921	1626	137
922	1628	135
923	1629	134
924	1631	132
925	1633	130
926	1634	128
927	1636	126
928	1638	125
929	1639	123
930	1641	121
931	1643	119
932	1644	118
933	1646	116
934	1648	114
935	1650	112
936	1651	111
937	1653	109
938	1655	107
939	1656	105
940	1658	103
941	1660	102
942	1661	100
943	1663	98
944	1665	96
945	1667	95
946	1668	93
947	1670	91
948	1672	89
949	1673	88
950	1675	86
951	1677	84
952	1679	82
953	1680	81
954	1682	79
955	1684	77
956	1686	75
957	1687	74
958	1689	72
959	1691	70
960	1692	68
961	1694	66
962	1696	65
963	1698	63
964	1699	61
965	1701	59
966	1703	58
967	1704	56
968	1706	54
969	1708	52
970	1710	51
971	1711	49
972	1713	47
973	1715	45
974	1716	44
975	1718	42
976	1720	40
977	1721	38
978	1723	36
979	1725	35
980	1727	33
981	1728	31
982	1730	29
983	1732	28
984	1734	26
985	1735	24
986	1737	22
987	1739	21
988	1741	19
989	1742	17
990	1744	15
991	1746	14
992	1747	12
993	1749	10
994	1751	8
995	1753	7
996	1754	5
997	1756	3
998	1758	1
999	1760	0
